desired_displacement_mm,extend_command_mm,retract_command_mm,model_status
980.0,1358.8097531433189,1376.9415038290933,candidate_requires_control_validation
990.0,1372.674472601303,1389.954605317064,candidate_requires_control_validation
1000.0,1386.5481988413626,1402.9343672102598,candidate_requires_control_validation
1010.0,1400.4292513936934,1415.880250494847,candidate_requires_control_validation
1020.0,1414.371677437411,1428.8006131803725,candidate_requires_control_validation
1030.0,1428.382354995039,1441.706432596235,candidate_requires_control_validation
1040.0,1442.4217194450962,1454.611665492144,candidate_requires_control_validation
1050.0,1456.4403292875127,1467.5283328863263,candidate_requires_control_validation
1060.0,1470.3957988357972,1480.468677330764,candidate_requires_control_validation
1070.0,1484.2260698413766,1493.450668799586,candidate_requires_control_validation
1080.0,1497.9116214081603,1506.4851224332583,candidate_requires_control_validation
1090.0,1511.3949515358267,1519.58283341795,candidate_requires_control_validation
1100.0,1524.6783429263064,1532.7356306603024,candidate_requires_control_validation
1110.0,1537.8399650438266,1545.9126077694625,candidate_requires_control_validation
1120.0,1550.929413606325,1559.0916267091484,candidate_requires_control_validation
1130.0,1564.0038866826649,1572.2461040325938,candidate_requires_control_validation
1140.0,1577.1189620143887,1585.3530281709038,candidate_requires_control_validation
1150.0,1590.3265989892836,1598.3936673153614,candidate_requires_control_validation
1160.0,1603.704570273694,1611.3437896460653,candidate_requires_control_validation
1170.0,1617.2268034195267,1624.2128987295657,candidate_requires_control_validation
1180.0,1630.8565343880184,1637.0322992925833,candidate_requires_control_validation
1190.0,1644.5576457880752,1649.8238636066137,candidate_requires_control_validation
1200.0,1658.277691068279,1662.611660364796,candidate_requires_control_validation
1210.0,1671.972306019869,1675.4210460092343,candidate_requires_control_validation
1220.0,1685.595394618757,1688.2737904390503,candidate_requires_control_validation
1230.0,1699.1142482273767,1701.1997804388402,candidate_requires_control_validation
1240.0,1712.4561137819937,1714.2344838138508,candidate_requires_control_validation
1250.0,1725.6479124638552,1727.3553078430305,candidate_requires_control_validation
1260.0,1738.7571469521465,1740.5266444387996,candidate_requires_control_validation
1270.0,1751.8437351096084,1753.7055507870832,candidate_requires_control_validation
1280.0,1764.976103544041,1766.848465777994,candidate_requires_control_validation
1290.0,1778.2123321830002,1779.9189729915165,candidate_requires_control_validation
1300.0,1791.6353011688955,1792.856660625992,candidate_requires_control_validation
1310.0,1805.3219382356544,1805.662836556527,candidate_requires_control_validation
1320.0,1819.2487725430076,1818.3768469707595,candidate_requires_control_validation
1330.0,1833.3941072820257,1831.0143534247752,candidate_requires_control_validation
1340.0,1847.670073316987,1843.5746329850226,candidate_requires_control_validation
1350.0,1862.0139887284165,1856.0667098699114,candidate_requires_control_validation
1360.0,1876.352499297134,1868.4920271294125,candidate_requires_control_validation
1370.0,1890.6172659743702,1880.8482892929321,candidate_requires_control_validation
1380.0,1904.7416222068837,1893.1344464213432,candidate_requires_control_validation
