desired_displacement_mm,extend_command_mm,retract_command_mm,model_status
980.0,1357.716602916014,1378.9490404510393,candidate_requires_control_validation
990.0,1371.5086134979783,1392.1981202176817,candidate_requires_control_validation
1000.0,1385.3039779497694,1405.3608537260955,candidate_requires_control_validation
1010.0,1399.0915524785687,1418.4450648079878,candidate_requires_control_validation
1020.0,1412.8807192869442,1431.4649063373397,candidate_requires_control_validation
1030.0,1426.686385885716,1444.441618236046,candidate_requires_control_validation
1040.0,1440.5025759568823,1457.3974466109373,candidate_requires_control_validation
1050.0,1454.3226512253775,1470.349332740934,candidate_requires_control_validation
1060.0,1468.139020707085,1483.318850745974,candidate_requires_control_validation
1070.0,1481.9439035344863,1496.3226887166172,candidate_requires_control_validation
1080.0,1495.729832792585,1509.373971805895,candidate_requires_control_validation
1090.0,1509.4970585455067,1522.4721155192717,candidate_requires_control_validation
1100.0,1523.2514363453536,1535.5948919204118,candidate_requires_control_validation
1110.0,1536.9960899666378,1548.725231973428,candidate_requires_control_validation
1120.0,1550.7307304010576,1561.844771431832,candidate_requires_control_validation
1130.0,1564.4539133061098,1574.9349560688224,candidate_requires_control_validation
1140.0,1578.1671524875067,1587.9815163945846,candidate_requires_control_validation
1150.0,1591.8692033285995,1600.9644727100535,candidate_requires_control_validation
1160.0,1605.564236600731,1613.8548611043882,candidate_requires_control_validation
1170.0,1619.2664658423557,1626.671041565362,candidate_requires_control_validation
1180.0,1632.9716149079622,1639.439601387838,candidate_requires_control_validation
1190.0,1646.666405775657,1652.187024379513,candidate_requires_control_validation
1200.0,1660.3393910261248,1664.945213466202,candidate_requires_control_validation
1210.0,1673.9722600739274,1677.7404236282944,candidate_requires_control_validation
1220.0,1687.5594408662037,1690.6024147597886,candidate_requires_control_validation
1230.0,1701.0854308083592,1703.5708175670047,candidate_requires_control_validation
1240.0,1714.5169137219723,1716.6361438919307,candidate_requires_control_validation
1250.0,1727.8693130148797,1729.7770351654112,candidate_requires_control_validation
1260.0,1741.1679867086978,1742.9767495515212,candidate_requires_control_validation
1270.0,1754.4436153262436,1756.1999644839054,candidate_requires_control_validation
1280.0,1767.7276741169253,1769.4225393488007,candidate_requires_control_validation
1290.0,1781.0500219026153,1782.6133401703241,candidate_requires_control_validation
1300.0,1794.4477960837978,1795.748529700084,candidate_requires_control_validation
1310.0,1807.9164682976227,1808.8258663889178,candidate_requires_control_validation
1320.0,1821.4115547566612,1821.8713523258596,candidate_requires_control_validation
1330.0,1834.9321596360824,1834.893604889223,candidate_requires_control_validation
1340.0,1848.4896915485206,1847.8943503703617,candidate_requires_control_validation
1350.0,1862.1049419108463,1860.8725636300471,candidate_requires_control_validation
1360.0,1875.792933703588,1873.8267872009658,candidate_requires_control_validation
1370.0,1889.5629964324776,1886.7599657401365,candidate_requires_control_validation
1380.0,1903.447000138028,1899.6722325604824,candidate_requires_control_validation
